Date,Team,Relinquished,Notes,Notes2
1998-01-19,Kings,Kevin Salvadori,placed on IL with left knee tendinitis,left knee tendinitis
1998-01-21,Heat,Mark Strickland,placed on IL with fractured right index finger,fractured right index finger
1998-01-21,Hornets,Vlade Divac,placed on IL with surgery on left knee (out indefinitely),surgery on left knee (out indefinitely)
1998-01-21,Rockets,Joe Stephens,placed on IL with patella tendinitis,patella tendinitis
1998-01-21,Spurs,Sean Elliott,placed on IL with left knee tendinitis,left knee tendinitis
1998-01-22,Bulls,Joe Kleine,placed on IL with left knee tendinitis,left knee tendinitis
1998-01-22,Magic,Jason Lawson,placed on IL with strained groin,strained groin
1998-01-22,Pacers,Etdrick Bohannon,placed on IR with strained abdomen & pulled groin,strained abdomen & pulled groin
1998-01-24,Raptors,Chris Garner,placed on IL with right ankle tendinitis,right ankle tendinitis
1998-01-26,Pistons,Charles O'Bannon,placed on IL with strained lower back,strained lower back
1998-01-27,Warriors,Tyrone Bogues / Muggsy Bogues,placed on IL with strained right hamstring,strained right hamstring
1998-01-29,Knicks,Ron Grandison / Ronnie Grandison,placed on IL with left knee patellar tendinitis,left knee patellar tendinitis
1998-01-29,Sonics,Jerome Kersey,placed on IL with separated left shoulder,separated left shoulder
1998-01-30,Heat,Terry Mills,placed on IL with left knee inflammation,left knee inflammation
1998-01-30,Mavericks,Robert Pack,placed on IR with torn ligaments in right thumb,torn ligaments in right thumb
1998-01-30,Suns,Cedric Ceballos,placed on IL with strained right calf,strained right calf
1998-01-30,Timberwolves,Chris Carr (Dean),placed on IL with sprained left ankle,sprained left ankle
1998-01-31,Bulls,Rusty LaRue,placed on IL with left Achilles tendinitis,left Achilles tendinitis
1998-02-02,Cavaliers,Derek Anderson,placed on IL with sprained MCL in right knee,sprained MCL in right knee
1998-02-02,Hawks,Dikembe Mutombo,left game with bruised tailbone,left game with bruised tailbone
1998-02-02,Hornets,Bobby Phills,placed on IL with strained left groin,strained left groin
1998-02-02,Nuggets,Harold Ellis,placed on IR with ankle injury / torn cartilage in right knee (P),ankle injury / torn cartilage in right knee (P)
1998-02-03,Rockets,Emanual Davis,placed on IL with left knee tendinitis,left knee tendinitis
1998-02-05,Raptors,Zan Tabak,placed on IR with fractured right hand (out 4-6 weeks),fractured right hand (out 4-6 weeks)
1998-02-09,Bullets,Tim Legler,placed on IR with pulled right hamstring,pulled right hamstring
1998-02-09,Warriors,Brian Shaw,placed on IR with right groin strain,right groin strain
1998-02-10,Hawks,Eldridge Recasner,placed on IL with sprained right ankle,sprained right ankle
1998-02-11,Hawks,Eldridge Recasner,placed on IL with sprained right ankle,sprained right ankle
1998-02-11,Mavericks,Samaki Walker,placed on IL with stress fracture in right foot,stress fracture in right foot
1998-02-12,Magic,Darrell Armstrong,placed on IR with torn right rotator cuff (out for season),torn right rotator cuff (out for season)
1998-02-12,Suns,Horacio Llamas,placed on IL with bruised left heel,bruised left heel
1998-02-13,Blazers,Alton Lister,placed on IL with left knee tendinitis,left knee tendinitis
1998-02-13,Bucks,Terrell Brandon,placed on IL with sprained left ankle,sprained left ankle
1998-02-13,Jazz,Greg Ostertag,placed on IL with stress fracture in left leg (out 3-6 weeks),stress fracture in left leg (out 3-6 weeks)
1998-02-15,Celtics,John Thomas,placed on IL with strained right Achilles tendon,strained right Achilles tendon
1998-02-15,Pistons,Steve Henson,placed on IR with right groin strain,right groin strain
1998-02-15,Warriors,Duane Ferrell,placed on IL with strained right calf,strained right calf
1998-02-16,Magic,Johnny Taylor,placed on IL with strained right shoulder,strained right shoulder
1998-02-17,Sonics,James Cotton,placed on IL with strained right calf,strained right calf
1998-02-18,Grizzlies,Ivano Newbill,placed on IL with right knee tendinitis,right knee tendinitis
1998-02-18,Raptors,Alvin Williams,placed on IL with right knee surgery (out 2-3 weeks),right knee surgery (out 2-3 weeks)
1998-02-18,Raptors,Chris Garner,placed on IL with right Achilles tendinitis,right Achilles tendinitis
1998-02-19,76ers,Anthony Parker,placed on IL with sprained MCL in right knee,sprained MCL in right knee
1998-02-19,Clippers,James Collins,placed on IL with strained lower back,strained lower back
1998-02-19,Magic,Mark Price,placed on IR with ligament damage in left thumb (out 2-4 weeks),ligament damage in left thumb (out 2-4 weeks)
1998-02-19,Pistons,Grant Long,placed on IL with fractured right foot,fractured right foot
1998-02-20,Celtics,Ronald Jones / Popeye Jones,placed on IR with torn left ACL (out for season),torn left ACL (out for season)
1998-02-20,Celtics,Zan Tabak,placed on IR with fractured right hand (out 4-6 weeks),fractured right hand (out 4-6 weeks)
1998-02-20,Kings,Mahmoud Abdul-Rauf / Chris Jackson,placed on IL with flu,flu
1998-02-20,Knicks,Buck Williams,placed on IL with sore left knee,sore left knee
1998-02-20,Nuggets,Bobby Jackson,placed on IR with fractured right ring finger,fractured right ring finger
1998-02-20,Spurs,Chuck Person,placed on IL with lower back pain,lower back pain
1998-02-22,Heat,Jamal Mashburn,placed on IR with fractured right thumb,fractured right thumb
1998-02-24,Timberwolves,Tom Gugliotta,placed on IR with ankle surgery to remove bone spurs,ankle surgery to remove bone spurs
1998-02-25,Cavaliers,Danny Ferry,placed on IL with right knee inflammation,right knee inflammation
1998-02-25,Knicks,Chris Dudley,placed on IL with broken bone in right foot,broken bone in right foot
1998-02-27,Lakers,Nick Van Exel,placed on IR with surgery on foot (out 3 weeks),surgery on foot (out 3 weeks)
1998-02-27,Pistons,Eric Montross,placed on IR with lateral pain in right knee,lateral pain in right knee
1998-02-28,Hornets,Tony Farmer,placed on IL with left knee tendinitis,left knee tendinitis
1998-03-01,Grizzlies,Doug West,placed on IL with bruised right hip,bruised right hip
1998-03-03,Clippers,Lorenzen Wright,placed on IL with sprained left ankle,sprained left ankle
1998-03-03,Rockets,Charles Jones (b. 1957-04-03),placed on IL with strained lower back,strained lower back
1998-03-04,Nuggets,Priest Lauderdale,placed on IL with left patella tendinitis,left patella tendinitis
1998-03-04,Warriors,Vernell Coles / Bimbo Coles,placed on IL with bone spurs in right foot,bone spurs in right foot
1998-03-05,Blazers,Vincent Askew,placed on IL with sore back,sore back
1998-03-06,Nets,Rony Seikaly,placed on IL with bone bruise in right foot,bone bruise in right foot
1998-03-07,Bullets,Tim Legler,placed on IR with injured right hamstring,injured right hamstring
1998-03-07,Bulls,Randy Brown,placed on IR with partially torn left Achilles tendon,partially torn left Achilles tendon
1998-03-08,Nets,Jayson Williams,placed on IL with strained abdominal muscle,strained abdominal muscle
1998-03-08,Raptors,Gary Trent,placed on IL with strained left hip flexor,strained left hip flexor
1998-03-08,Sonics,Stephen Howard,placed on IR with chronic patella tendinitis in right knee,chronic patella tendinitis in right knee
1998-03-09,76ers,Derrick Coleman,placed on IL with sprained left ankle,sprained left ankle
1998-03-09,76ers,Scott Williams,placed on IL with strained right hip flexor,strained right hip flexor
1998-03-10,Bucks,Glenn Robinson (Jr.),placed on IL with hyperextended left knee / bone compression in the tibial plateau,hyperextended left knee / bone compression in the tibial plateau
1998-03-11,Hornets,Donald Royal,placed on IR with inflammation in left ankle,inflammation in left ankle
1998-03-12,Heat,Keith Askins,placed on IR with torn lateral meniscus in left knee,torn lateral meniscus in left knee
1998-03-12,Magic,Anfernee Hardaway / Penny Hardaway,placed on IL with strained left calf muscle,strained left calf muscle
1998-03-13,Blazers,Damon Stoudamire,placed on IL with sprained right ankle,sprained right ankle
1998-03-13,Celtics,Pervis Ellison,placed on IL with sprained right ankle,sprained right ankle
1998-03-13,Clippers,James Collins,placed on IL with strained lower back,strained lower back
1998-03-13,Hawks,Drew Barry,strained right ankle (DNP),strained right ankle (DNP)
1998-03-13,Sonics,David Wingate,placed on IL with strained right hamstring,strained right hamstring
1998-03-15,Lakers,Shea Seals,placed on IL with back spasms,back spasms
1998-03-16,Blazers,Carlos Rogers,placed on IL with sore right knee,sore right knee
1998-03-16,Heat,Antonio Lang,placed on IL with left knee tendinitis,left knee tendinitis
1998-03-16,Nuggets,Harold Ellis,placed on IL with right knee patella tendinitis,right knee patella tendinitis
1998-03-16,Pacers,Mark West (Andre),placed on IR with chronic chondromalacia in left knee,chronic chondromalacia in left knee
1998-03-17,Bulls,Luc Longley,placed on IL with sprained left knee,sprained left knee
1998-03-17,Timberwolves,Chris Carr (Dean),placed on IL with sprained left ankle,sprained left ankle
1998-03-19,Hornets,Travis Williams,placed on IR with tendinitis in right ankle,tendinitis in right ankle
1998-03-19,Nets,Don MacLean,placed on IL with tendinitis in both knees,tendinitis in both knees
1998-03-23,76ers,Kebu Stewart,placed on IL with left knee patella tendinitis,left knee patella tendinitis
1998-03-23,Raptors,Sharone Wright,placed on IR with aggravated right shoulder injury,aggravated right shoulder injury
1998-03-24,Cavaliers,Henry James,placed on IR with diabetes mellitus,diabetes mellitus
1998-03-25,Celtics,Bruce Bowen,placed in IR with stress reaction in left foot,placed in IR with stress reaction in left foot
1998-03-26,Blazers,Rick Brunson,placed on IL with bruised right shoulder,bruised right shoulder
1998-03-27,Grizzlies,Sam Mack,placed on IR with fractured left ankle,fractured left ankle
1998-03-27,Heat,P.J. Brown,placed on IL with sprained left ankle,sprained left ankle
1998-03-28,Bulls,Joe Kleine,placed on IL with right knee tendinitis,right knee tendinitis
1998-03-29,Clippers,Eric Piatkowski,placed on IL with strained abdominal muscle,strained abdominal muscle
1998-03-29,Raptors,Roy Rogers,placed on IL with right knee inflammation,right knee inflammation
1998-03-30,Hawks,Christian Laettner,sprained right ankle (DTD),sprained right ankle (DTD)
1998-03-30,Spurs,Chuck Person,placed on IL with lower back pain,lower back pain
1998-04-02,76ers,Brian Shaw,placed on IR with plantar fasciaitis of the right heel and an avulsion fracture of the right heel bone,plantar fasciaitis of the right heel and an avulsion fracture of the right heel bone
1998-04-03,Rockets,Matt Bullard,placed on IR with strained Achilles tendon,strained Achilles tendon
1998-04-03,Rockets,Rodrick Rhodes,placed on IL with strained left shoulder,strained left shoulder
1998-04-04,Bulls,Toni Kukoc,placed on IR with inflamed tendon in right foot,inflamed tendon in right foot
1998-04-07,Heat,Antonio Lang,placed on IL with left knee tendinitis,left knee tendinitis
1998-04-07,Heat,Rex Walters,placed on IL with tendinitis in both knees,tendinitis in both knees
1998-04-07,Warriors,Donyell Marshall,placed on IL with fractured rib,fractured rib
1998-04-09,Bulls,Luc Longley,placed on IL with bone bruise in left knee,bone bruise in left knee
1998-04-09,Suns,Danny Manning,placed on IL with torn ACL in right knee (out for season),torn ACL in right knee (out for season)
1998-04-11,Knicks,Ben Davis,placed on IL with left Achilles tendinitis,left Achilles tendinitis
1998-04-13,Pacers,Austin Croshere,placed on IR with broken left foot,broken left foot
1998-04-14,Nuggets,Joe Wolf,placed on IR with subluxation of right shoulder,subluxation of right shoulder
1998-04-14,Rockets,Charles Barkley,placed on IL with strained left groin,strained left groin
1998-04-15,Bulls,Keith Booth,placed on IL with strained lower back,strained lower back
1998-04-15,Nets,Jayson Williams,placed on IR with broken right thumb (out for season),broken right thumb (out for season)
1998-04-15,Spurs,Willie Burton,placed on IR with acute right patellar tendinitis,acute right patellar tendinitis
1998-04-16,Blazers,John Crotty,placed on IL with right knee tendinitis,right knee tendinitis
1998-04-16,Magic,Kevin Edwards,placed on IR with right elbow tendinitis,right elbow tendinitis
1998-04-17,Heat,Brent Barry,placed on IL with sprained right ankle,sprained right ankle
1998-04-17,Heat,Dan Majerle,placed on IL with strained left groin,strained left groin
1998-04-17,Sonics,Dale Ellis,placed on IL with strained abdominal muscle,strained abdominal muscle
1998-04-18,Heat,Tim Hardaway Sr.,placed on IL with right knee inflammation,right knee inflammation
1998-04-18,Suns,Rex Chapman,placed on IR with aggravated left hamstring,aggravated left hamstring
1998-04-19,Nets,Michael Cage,placed on IL with strained left hamstring,strained left hamstring
1998-04-19,Rockets,Brent Price,placed on IL with sore left knee,sore left knee
1999-02-02,Kings,Chris Robinson,placed on IL,placed on IL
1999-02-02,Kings,Ray Owes,placed on IL,placed on IL
1999-02-03,76ers,Darrin Hancock,placed on IL with bruised left thigh,bruised left thigh
1999-02-03,Cavaliers,Ryan Stack,placed on IR with fractured finger,fractured finger
1999-02-03,Heat,Terry Mills,placed on IL with sore left knee,sore left knee
1999-02-03,Heat,Voshon Lenard,placed on IR with left leg stress fracture (out 2 months),left leg stress fracture (out 2 months)
1999-02-03,Timberwolves,Trevor Winter,placed on IL with left knee tendinitis,left knee tendinitis
1999-02-03,Wizards,Evric Gray,placed on IL with concussion,concussion
1999-02-03,Wizards,Lorenzo Williams,placed on IR with stress fractures in both feet,stress fractures in both feet
1999-02-04,Blazers,Art Long,placed on IL with knee injury,knee injury
1999-02-04,Blazers,Michael Hawkins,placed on IL,placed on IL
1999-02-04,Blazers,Nikita Morgunov,placed on IL,placed on IL
1999-02-04,Bucks,Donny Marshall,placed on IL,placed on IL
1999-02-04,Bulls,Charles Jones (Rahmel),placed on IR with tendinitis in left foot,tendinitis in left foot
1999-02-04,Celtics,Pervis Ellison,placed on IL,placed on IL
1999-02-04,Clippers,Brian Skinner,placed on IL with arthroscopic surgery on left knee,arthroscopic surgery on left knee
1999-02-04,Clippers,Scott Brooks,placed on IL with strained MCL in knee,strained MCL in knee
1999-02-04,Grizzlies,Dan Muller,placed on IL,placed on IL
1999-02-04,Grizzlies,Lee Mayberry,placed on IL,placed on IL
1999-02-04,Grizzlies,Makhtar Ndiaye / Makhtar N'Diaye,placed on IL with knee injury,knee injury
1999-02-04,Hawks,Scot Pollard,placed on IL,placed on IL
1999-02-04,Heat,Amal McCaskill,placed on IL with back injury,back injury
1999-02-04,Hornets,Anthony Mason (Sr.),placed on IR with ruptured right biceps tendon (out for season),ruptured right biceps tendon (out for season)
1999-02-04,Hornets,Glen Rice (Sr.),placed on IR with right elbow surgery,right elbow surgery
1999-02-04,Magic,Jonathan Kerner,placed on IL with strained lower back,strained lower back
1999-02-04,Mavericks,Ansu Sesay,placed on IL with broken right foot (out for season),broken right foot (out for season)
1999-02-04,Nuggets,Kelly McCarty,placed on IL,placed on IL
1999-02-04,Nuggets,Mark Randall,placed on IL,placed on IL
1999-02-04,Pacers,Haywoode Workman,placed on IR with pulled groin,pulled groin
1999-02-04,Pacers,Mate Skelin,placed on IR with sprained knee,sprained knee
1999-02-04,Pistons,Christian Laettner,placed on IL with torn right Achilles tendon,torn right Achilles tendon
1999-02-04,Pistons,Korleone Young,placed on IL with back spasms,back spasms
1999-02-04,Raptors,Micheal Williams,placed on IL,placed on IL
1999-02-04,Raptors,Negele Knight,placed on IL with sprained right ankle,sprained right ankle
1999-02-04,Rockets,Antoine Carr,placed on IL with surgery on right knee (out 4-6 weeks),surgery on right knee (out 4-6 weeks)
1999-02-04,Rockets,Rodrick Rhodes,placed on IR with torn right pectoral tendon in chest (out 6-8 weeks),torn right pectoral tendon in chest (out 6-8 weeks)
1999-02-04,Sonics,Drew Barry,placed on IL,placed on IL
1999-02-04,Suns,Horacio Llamas,placed on IL with bruised right foot,bruised right foot
1999-02-04,Bulls,Jeff Sanders,placed on IL,placed on IL
1999-02-09,76ers,Scott Williams,placed on IR with stress fractures in both legs,stress fractures in both legs
1999-02-10,Knicks,Latrell Sprewell,placed on IR with stress fracture in right heel,stress fracture in right heel
1999-02-10,Magic,Derek Strong,placed on IL with bruised right foot,bruised right foot
1999-02-13,Sonics,Billy Owens,placed on IR with broken left pinky finger,broken left pinky finger
1999-02-14,Heat,Jamal Mashburn,placed on IR with deep thigh bruise (out 2 weeks),deep thigh bruise (out 2 weeks)
1999-02-16,76ers,Anthony Parker,placed on IL with broken bone in left foot,broken bone in left foot
1999-02-16,Nets,Lucious Harris,placed on IR with bulding disc in lower back,bulding disc in lower back
1999-02-17,Bucks,Jerald Honeycutt,placed on IR with left calf strain,left calf strain
1999-02-17,Celtics,Marlon Garnett,placed on IL with sprained right ankle,sprained right ankle
1999-02-17,Lakers,Sam Jacobson,placed on IL with broken left ring finger,broken left ring finger
1999-02-17,Magic,Gerald Wilkins,placed on IL with left Achilles tendinitis,left Achilles tendinitis
1999-02-17,Magic,Miles Simon,placed on IL with left knee patella tendinitis,left knee patella tendinitis
1999-02-17,Rockets,Charles Barkley,placed on IL with surgery on left knee,surgery on left knee
1999-02-17,Spurs,Will Perdue,placed on IL with sprained right ankle,sprained right ankle
1999-02-18,Cavaliers,Zydrunas Ilgauskas,placed on IR with fractured navicular bone in left foot (out for season),fractured navicular bone in left foot (out for season)
1999-02-18,Jazz,Thurl Bailey,placed on IR with sprained left quadricep / strained hip flexor (P),sprained left quadricep / strained hip flexor (P)
1999-02-18,Mavericks,Erick Strickland,placed on IL with strained right groin,strained right groin
1999-02-19,Blazers,Bonzi Wells,placed on IL with sprained right ankle,sprained right ankle
1999-02-19,Blazers,John Crotty,placed on IL with bruised left quadricep,bruised left quadricep
1999-02-19,Blazers,Nikita Morgunov,placed on IL with sore left knee,sore left knee
1999-02-19,Bullets,Tim Legler,placed on IL,placed on IL
1999-02-19,Bulls,Bill Wennington,placed on IL with strained lower back,strained lower back
1999-02-19,Bulls,Corey Benjamin,placed on IL with abdominal strain,abdominal strain
1999-02-19,Celtics,Walter McCarty,placed on IL with sprained right big toe,sprained right big toe
1999-02-19,Clippers,Charles Smith (Cornelius),placed on IL with shin splints,shin splints
1999-02-19,Clippers,Stojko Vrankovic,placed on IL with back spasms,back spasms
1999-02-19,Grizzlies,J.R. Henderson,placed on IL with right knee tendinitis,right knee tendinitis
1999-02-19,Hornets,Joe Wolf,placed on IR with subluxation of right elbow,subluxation of right elbow
1999-02-19,Kings,Oliver Miller,placed on IL with back spasms,back spasms
1999-02-19,Knicks,Ben Davis,placed on IL with lower back pain,lower back pain
1999-02-19,Lakers,Tyronn Lue,placed on IL with back spasms,back spasms
1999-02-19,Nets,Lucious Harris,placed on IR with bulding disc in back,bulding disc in back
1999-02-19,Pacers,Derrick McKey,placed on IR with quadricep tendinitis in right knee,quadricep tendinitis in right knee
1999-02-19,Pacers,Mark Pope,placed on IL with left Achilles tendinitis,left Achilles tendinitis
1999-02-19,Pistons,Steve Henson,placed on IL with strained lower back,strained lower back
1999-02-19,Raptors,Paul Rogers,placed on IR with fractured right ankle,fractured right ankle
1999-02-19,Raptors,Sean Marks,placed on IL with strained lower back,strained lower back
1999-02-19,Sonics,Jelani McCoy,placed on IL with sore back,sore back
1999-02-19,Spurs,Brandon Williams (b. 1975-02-27),placed on IR with plantar facitis in right foot,plantar facitis in right foot
1999-02-19,Suns,Gerald Brown,placed on IR with chondromalacia patella left knee,chondromalacia patella left knee
1999-02-19,Suns,Toby Bailey,placed on IL with patellar tendinitis in right knee,patellar tendinitis in right knee
1999-02-19,Timberwolves,Paul Grant,placed on IL with right knee tendinitis,right knee tendinitis
1999-02-19,Timberwolves,Reggie Jordan,placed on IL with lower back spasms,lower back spasms
1999-02-19,Warriors,Tyrone Bogues / Muggsy Bogues,placed on IR with chicken pox,chicken pox
1999-02-22,Hawks,Steve Smith (Delano),placed on IL with a sprained right knee,a sprained right knee
1999-02-23,Nets,Rony Seikaly,placed on IL with sore left foot / plantar fasciatis in right foot,sore left foot / plantar fasciatis in right foot
1999-02-24,Lakers,Ruben Patterson,placed on IL with right knee tendinitis,right knee tendinitis
1999-02-25,Nuggets,Raef LaFrentz,placed on IL with torn ACL in left knee (out for season),torn ACL in left knee (out for season)
1999-02-25,Rockets,Stanley Roberts,placed on IL with strained right hamstring,strained right hamstring
1999-02-26,Mavericks,Cedric Ceballos,placed on IL with fractured right wrist,fractured right wrist
1999-02-27,Bulls,Cory Carr,placed on IL with strained lower back,strained lower back
1999-02-27,Bulls,Keith Booth,placed on IL with strained left quadricep,strained left quadricep
1999-02-27,Clippers,Jerome Richardson / Pooh Richardson,placed on IL with sprained left ankle,sprained left ankle
1999-02-27,Clippers,Michael Olowokandi,placed on IL with sprained left ankle,sprained left ankle
1999-02-28,Rockets,Eddie Johnson (Arnet),placed on IL with back spasms / strained lower back,back spasms / strained lower back
1999-03-01,Celtics,Dwayne Schintzius,placed on IL with sore right knee,sore right knee
1999-03-01,Sonics,James Cotton,placed on IR with strained tendon in right leg,strained tendon in right leg
1999-03-02,Clippers,Stojko Vrankovic,placed on IL with lower back spasms,lower back spasms
1999-03-02,Rockets,Antoine Carr,placed on IL with sprained right knee,sprained right knee
1999-03-02,Spurs,Gerard King,placed on IR with cervical spasms,cervical spasms
1999-03-02,Suns,Marko Milic,placed on IL with right knee tendinitis,right knee tendinitis
1999-03-03,Blazers,Carlos Rogers,placed on IL with right knee tendinitis / bruised left quadriceps,right knee tendinitis / bruised left quadriceps
1999-03-04,Sonics,Martyn Norris / Moochie Norris,placed on IL with insomnia,insomnia
1999-03-05,Knicks,David Wingate,placed on IL with right knee patellar tendinitis,right knee patellar tendinitis
1999-03-05,Magic,Danny Schayes,placed on IL with strained left calf,strained left calf
1999-03-08,Bulls,Charles Jones (Rahmel),placed on IL with strained right calf,strained right calf
1999-03-08,Magic,Miles Simon,placed on IL with left knee patella tendinitis,left knee patella tendinitis
1999-03-08,Warriors,Duane Ferrell,placed on IL with left knee tendinitis,left knee tendinitis
1999-03-09,Bulls,Rusty LaRue,placed on IL with sprained left ankle,sprained left ankle
1999-03-10,Clippers,Brian Skinner,placed on IL with strained left knee,strained left knee
1999-03-10,Clippers,Sherman Douglas,placed on IL with strained groin,strained groin
1999-03-11,76ers,Casey Shaw,placed on IL,placed on IL
1999-03-11,Grizzlies,Tony Massenburg,placed on IL with sprained left wrist,sprained left wrist
1999-03-11,Raptors,Negele Knight,placed on IL with strained lower back,strained lower back
1999-03-12,Blazers,John Crotty,placed on IL with bruised left quadricep,bruised left quadricep
1999-03-12,Nets,Eric Murdock,placed on IR with cartilage damage in left knee,cartilage damage in left knee
1999-03-12,Timberwolves,Malik Sealy,placed on IL with sprained left ankle,sprained left ankle
1999-03-13,Hawks,LaPhonso Ellis,placed on IL with back spasms,back spasms
1999-03-14,Mavericks,Robert Pack,placed on IR with partially torn right hamstring,partially torn right hamstring
1999-03-14,Pistons,Charles O'Bannon,placed on IL with right knee tendinitis,right knee tendinitis
1999-03-14,Wizards,Jahidi White,placed on IL with sprained right knee,sprained right knee
1999-03-15,Magic,Jonathan Kerner,placed on IL with strained lower back,strained lower back
1999-03-16,Pistons,Korleone Young,placed on IL with back spasms,back spasms
1999-03-16,Raptors,Micheal Williams,placed on IR with sore right foot,sore right foot
1999-03-16,Timberwolves,Anthony Peeler,placed on IL with strained left calf,strained left calf
1999-03-17,Timberwolves,Trevor Winter,placed on IL with strained lower back,strained lower back
1999-03-18,Bulls,Andrew Lang,placed on IL with sprained MCL in left knee,sprained MCL in left knee
1999-03-18,Bulls,Corey Benjamin,placed on IR with tonsillitis,tonsillitis
1999-03-18,Wizards,Randell Jackson,placed on IL with left patella tendinitis,left patella tendinitis
1999-03-19,Clippers,Jerome Richardson / Pooh Richardson,placed on IL with sprained left ankle,sprained left ankle
1999-03-20,Celtics,Ronald Jones / Popeye Jones,placed on IL with sore left knee,sore left knee
1999-03-20,Grizzlies,Lee Mayberry,placed on IL with tendinitis in both knees,tendinitis in both knees
1999-03-21,Magic,Charles Outlaw / Bo Outlaw,placed on IL with fractured left fibula,fractured left fibula
1999-03-22,Bucks,Sam Cassell,placed on IL with sprained right ankle,sprained right ankle
1999-03-22,Celtics,Eric Riley,placed on IL with plantar fasciatis in left foot,plantar fasciatis in left foot
1999-03-22,Nets,Jim McIlvaine,placed on IR with torn cartilage in left shoulder,torn cartilage in left shoulder
1999-03-22,Pistons,Joe Dumars,placed on IL with strained left calf,strained left calf
1999-03-22,Rockets,Matt Maloney,placed on IR with sore right elbow,sore right elbow
1999-03-23,Cavaliers,Ryan Stack,placed on IL with back spasms,back spasms
1999-03-23,Clippers,Sherman Douglas,placed on IL with strained left quadriceps,strained left quadriceps
1999-03-23,Grizzlies,Doug West,placed on IL with broken toe on right foot,broken toe on right foot
1999-03-23,Heat,Marty Conlon,placed on IR with lacerated right pinky finger,lacerated right pinky finger
1999-03-23,Magic,Gerald Wilkins,placed on IR with strained calf,strained calf
1999-03-23,Nets,Scott Burrell,placed on IL with sprained right ankle,sprained right ankle
1999-03-23,Sonics,Vin Baker,placed on IR with partially torn ligament in right thumb,partially torn ligament in right thumb
1999-03-25,Bulls,Ron Harper (Sr.),placed on IR with dislocated right finger & hyperextended right knee,dislocated right finger & hyperextended right knee
1999-03-26,Grizzlies,Bryant Reeves,placed on IL with right knee injury,right knee injury
1999-03-26,Sonics,Don MacLean,placed on IL with lower back pain,lower back pain
1999-03-27,76ers,Rick Mahorn,placed on IL with plantar fasciatis in right foot,plantar fasciatis in right foot
1999-03-28,Suns,Rex Chapman,placed on IL with turf toe in left foot,turf toe in left foot
1999-03-29,Mavericks,Bruno Sundov,placed on IR with tendinitis in right hand / wrist injury,tendinitis in right hand / wrist injury
1999-03-30,Mavericks,Robert Pack,torn right hamstring (DNP),torn right hamstring (DNP)
1999-03-31,Pistons,Charles O'Bannon,placed on IL with right knee tendinitis,right knee tendinitis
1999-04-01,Heat,Terry Mills,placed on IR with strength deficit in left leg,strength deficit in left leg
1999-04-01,Nuggets,Keon Clark,placed on IR with partially collapsed lung,partially collapsed lung
1999-04-01,Wizards,Tracy Murray,placed on IL with sprained right big toe,sprained right big toe
